close,datetime,high,low,open,symbol,volume
135,104.93,1530162000000,105.46,103.51,103.68,JPM,14491252
136,104.2,1530248400000,106.9,104.15,106.68,JPM,18972393
137,105.08,1530507600000,105.09,103.38,103.72,JPM,11130044
138,103.61,1530594000000,105.775,103.52,105.41,JPM,8311680
139,103.72,1530766800000,104.38,103.53,104.13,JPM,10723412
140,104.06,1530853200000,104.5,102.2,103.12,JPM,12173700
141,107.28,1531112400000,107.46,104.71,104.71,JPM,13900793
142,106.62,1531198800000,108.4,106.53,108.02,JPM,14575873
143,106.39,1531285200000,107.06,106.21,106.31,JPM,10186482
144,106.85,1531371600000,107.56,105.97,107.42,JPM,12456754
145,106.36,1531458000000,107.8,105.14,107.3,JPM,21303844
146,110.58,1531717200000,110.77,106.98,107.05,JPM,24662621
147,110.5,1531803600000,110.93,109.7499,110.69,JPM,14821876
148,111.53,1531890000000,112.12,110.2,110.42,JPM,14244944
149,109.89,1531976400000,111.09,109.73,111.06,JPM,16775305
150,111.28,1532062800000,111.74,109.78,110.0,JPM,13582631
151,113.35,1532322000000,114.24,110.93,111.06,JPM,18140010
152,114.15,1532408400000,114.78,113.42,113.55,JPM,14000419
153,115.18,1532494800000,115.52,113.38,113.88,JPM,13331966
154,114.85,1532581200000,115.585,114.581,115.42,JPM,11897769
155,116.03,1532667600000,116.3,114.81,115.18,JPM,12805930
156,116.73,1532926800000,117.61,116.06,116.28,JPM,13411618
157,114.95,1533013200000,117.08,114.82,117.08,JPM,15843763
158,115.66,1533099600000,116.69,115.28,115.75,JPM,13531590
159,116.15,1533186000000,116.25,114.33,114.57,JPM,11058108
160,117.09,1533272400000,117.13,115.94,116.0,JPM,11016102
161,117.12,1533531600000,117.53,116.18,116.79,JPM,9857351
162,117.55,1533618000000,118.29,117.33,117.74,JPM,10562067
163,117.79,1533704400000,118.2686,117.28,117.33,JPM,8997220
164,116.88,1533790800000,117.72,116.695,117.51,JPM,9694541
165,115.73,1533877200000,115.95,114.6839,115.5,JPM,12630949
166,113.89,1534136400000,115.878,113.815,115.56,JPM,10340337
167,114.65,1534222800000,115.04,113.6499,114.27,JPM,10597611
168,113.7,1534309200000,114.33,112.97,113.82,JPM,10152082
169,114.77,1534395600000,115.31,114.3,114.35,JPM,10118820
170,114.77,1534482000000,115.07,114.3,114.64,JPM,8505111
171,114.62,1534741200000,115.05,114.11,114.59,JPM,8618739
172,115.32,1534827600000,116.385,114.88,115.37,JPM,10976680
173,114.97,1534914000000,115.41,114.78,115.31,JPM,8314901
174,114.73,1535000400000,115.15,114.43,114.96,JPM,9265593
175,114.68,1535086800000,115.22,114.451,114.98,JPM,8845718
176,116.71,1535346000000,117.28,115.17,115.22,JPM,13768021
177,116.14,1535432400000,117.03,115.97,117.0,JPM,8302618
178,115.76,1535518800000,116.37,115.36,116.35,JPM,7221744
179,115.19,1535605200000,116.04,114.98,115.59,JPM,8991802
180,114.58,1535691600000,114.84,113.819,114.83,JPM,13065719
181,115.15,1536037200000,115.24,113.63,114.34,JPM,10174177
182,114.59,1536123600000,115.7,114.25,115.0,JPM,11462446
183,114.1,1536210000000,114.7,113.5,114.5,JPM,9877635
184,114.32,1536296400000,114.77,113.63,114.5,JPM,10955590
185,113.71,1536555600000,114.97,113.66,114.85,JPM,8276936
186,114.43,1536642000000,114.575,113.18,113.54,JPM,9333781
187,113.08,1536728400000,114.88,112.85,114.25,JPM,10800758
188,113.52,1536814800000,114.13,112.67,113.37,JPM,12470769
189,113.5,1536901200000,114.49,113.23,113.81,JPM,10337948
190,113.84,1537160400000,114.43,113.3,113.79,JPM,9561297
191,114.3,1537246800000,114.655,113.56,114.33,JPM,7944210
192,117.62,1537333200000,118.06,114.44,114.44,JPM,16052776
193,118.63,1537419600000,119.24,118.08,118.5,JPM,15589976
194,117.85,1537506000000,119.23,117.74,119.13,JPM,24788247
195,116.72,1537765200000,118.46,116.4315,117.76,JPM,12492474
196,116.39,1537851600000,117.97,116.32,117.04,JPM,9308310
197,115.02,1537938000000,116.8699,114.66,116.75,JPM,14023640
198,114.52,1538024400000,115.76,114.16,115.42,JPM,13282987
199,112.84,1538110800000,114.24,112.52,113.65,JPM,15815120
200,113.5,1538370000000,114.61,113.04,113.37,JPM,10147110
201,113.97,1538456400000,114.12,112.8128,113.36,JPM,13753074
202,115.04,1538542800000,115.66,114.48,114.94,JPM,17141962
203,115.27,1538629200000,116.81,114.21,114.55,JPM,16357406
204,114.62,1538715600000,116.1,114.015,115.83,JPM,13777633
205,115.32,1538974800000,115.78,113.3534,114.25,JPM,14370869
206,114.52,1539061200000,115.03,113.67,114.67,JPM,14069477
207,111.47,1539147600000,114.95,111.47,114.7,JPM,23086389
208,108.13,1539234000000,111.47,107.38,110.97,JPM,33705616
209,106.95,1539320400000,110.83,105.6,110.37,JPM,32075740
210,106.34,1539579600000,108.85,106.32,107.2,JPM,18903216
211,108.62,1539666000000,108.78,106.73,107.16,JPM,19302764
212,109.83,1539752400000,110.8,108.23,108.38,JPM,18794482
213,108.09,1539838800000,109.84,107.81,109.02,JPM,17582467
214,107.91,1539925200000,109.22,107.27,107.65,JPM,15234549
215,106.36,1540184400000,108.34,106.1132,108.15,JPM,16199139
216,105.25,1540270800000,106.16,103.7,104.2,JPM,21407548
217,103.29,1540357200000,105.03,102.9068,104.76,JPM,23168916
218,104.86,1540443600000,105.9,103.72,104.18,JPM,17464708
219,103.42,1540530000000,104.56,102.73,104.0,JPM,19174916
220,104.85,1540789200000,106.63,103.7,104.46,JPM,18445175
221,106.7,1540875600000,106.98,104.86,105.71,JPM,18019681
222,109.02,1540962000000,110.48,107.79,108.08,JPM,20859992
223,108.98,1541048400000,110.22,108.32,109.62,JPM,13065023
224,108.38,1541134800000,110.81,107.49,109.9,JPM,19009493
225,109.09,1541397600000,109.29,108.42,108.61,JPM,10276448
226,109.6,1541484000000,109.67,107.76,108.67,JPM,10824959
227,111.48,1541570400000,111.73,109.35,110.37,JPM,12679585
228,112.38,1541656800000,112.925,111.0,111.01,JPM,11662499
229,111.29,1541743200000,112.36,110.83,112.23,JPM,10432161
230,108.95,1542002400000,111.94,108.6,111.42,JPM,13279671
231,109.59,1542088800000,111.12,109.1,109.1,JPM,13746059
232,107.33,1542175200000,110.71,105.9836,110.23,JPM,18361433
233,110.07,1542261600000,110.08,106.81,108.24,JPM,19099954
234,109.99,1542348000000,110.76,108.55,109.45,JPM,13798551
235,110.83,1542607200000,111.2,109.5282,109.96,JPM,13986991
236,108.45,1542693600000,110.49,107.98,109.78,JPM,18936153
237,107.64,1542780000000,109.61,107.64,109.03,JPM,10619625
238,106.65,1542952800000,107.39,106.06,106.74,JPM,6488406
239,109.26,1543212000000,109.98,107.45,107.72,JPM,13948285
240,109.72,1543298400000,110.03,108.63,108.76,JPM,9238176
